scenario,method,repetition,seed,truth,estimate,se,ci_low,ci_high
good_overlap,linear,19,2045,2000.0,2587.72524298243,169.23888090053606,2256.017036417379,2919.4334495474804
good_overlap,hgb,19,2045,2000.0,2009.522551424087,213.56657221978068,1590.9320698733168,2428.113032974857
good_overlap,naive,20,2046,2000.0,3330.0711864694294,172.36658193593428,2992.2326858749984,3667.9096870638605
good_overlap,linear,20,2046,2000.0,2446.424382498154,173.8665283366702,2105.6459869582804,2787.2027780380276
good_overlap,hgb,20,2046,2000.0,1754.8383625129507,246.2136899084578,1272.2595302923733,2237.417194733528
good_overlap,naive,21,2047,2000.0,3435.875819112296,161.09210974219496,3120.135284017594,3751.616354206998
good_overlap,linear,21,2047,2000.0,2583.943681916456,156.90766944221127,2276.4046498097223,2891.48271402319
good_overlap,hgb,21,2047,2000.0,2091.853696154539,207.37176987803582,1685.405027193589,2498.3023651154895
good_overlap,naive,22,2048,2000.0,3285.1364356863924,163.02955177111454,2965.598514215008,3604.6743571577767
good_overlap,linear,22,2048,2000.0,2474.230343780911,160.2969846154186,2160.0482539346904,2788.4124336271316
good_overlap,hgb,22,2048,2000.0,2264.978044785561,193.6544505797695,1885.4153216492127,2644.5407679219093
good_overlap,naive,23,2049,2000.0,3317.820663168869,165.29730172482255,2993.8379517882167,3641.8033745495213
good_overlap,linear,23,2049,2000.0,2626.0425064399337,156.8704229936223,2318.576477372434,2933.5085355074334
good_overlap,hgb,23,2049,2000.0,2151.8418981225027,177.1727915554515,1804.5832266738178,2499.1005695711874
good_overlap,naive,24,2050,2000.0,3530.7789135778166,167.97872164485955,3201.540619153892,3860.0172080017414
good_overlap,linear,24,2050,2000.0,2765.264172440389,172.5276409490787,2427.1099961801947,3103.418348700583
good_overlap,hgb,24,2050,2000.0,2117.3363822755673,257.46419877518844,1612.706552676198,2621.9662118749366
good_overlap,naive,25,2051,2000.0,3097.5065672386654,164.57875252609884,2774.932212287512,3420.080922189819
good_overlap,linear,25,2051,2000.0,2560.2298907575987,158.26868041486807,2250.023277144457,2870.4365043707403
good_overlap,hgb,25,2051,2000.0,2103.9154196312943,171.60325821011253,1767.5730335394737,2440.257805723115
good_overlap,naive,26,2052,2000.0,3397.230567868998,165.54057811729652,3072.771034759097,3721.6901009788994
good_overlap,linear,26,2052,2000.0,2551.488710334687,147.8403526465648,2261.72161914742,2841.255801521954
good_overlap,hgb,26,2052,2000.0,2245.0754204459836,226.95112378628735,1800.2512178248603,2689.899623067107
good_overlap,naive,27,2053,2000.0,3346.094592156941,162.238246565,3028.107628889541,3664.081555424341
good_overlap,linear,27,2053,2000.0,2625.0397689624515,157.33815884419704,2316.656977627825,2933.422560297078
good_overlap,hgb,27,2053,2000.0,2165.0389059941685,184.55112413364202,1803.31870269223,2526.759109296107
good_overlap,naive,28,2054,2000.0,3443.6095165153847,162.75954466291154,3124.600808976078,3762.6182240546914
good_overlap,linear,28,2054,2000.0,2685.0882696978583,156.35671106648059,2378.629116007556,2991.5474233881605
good_overlap,hgb,28,2054,2000.0,2102.985884129577,227.66366126089554,1656.7651080582216,2549.206660200932
good_overlap,naive,29,2055,2000.0,3462.1144590088925,163.3243879870341,3141.9986585543056,3782.2302594634793
good_overlap,linear,29,2055,2000.0,2528.146879930094,158.926286071954,2216.6513592290644,2839.642400631124
good_overlap,hgb,29,2055,2000.0,2139.2645788532086,185.37383094905817,1775.9318701930547,2502.5972875133625
good_overlap,naive,30,2056,2000.0,3343.755373190953,168.17034603329358,3014.1414949656973,3673.3692514162085
good_overlap,linear,30,2056,2000.0,2541.766408322941,160.39753412291935,2227.3872414420193,2856.145575203863
good_overlap,hgb,30,2056,2000.0,2127.1298409165315,217.5197425176127,1700.7911455820106,2553.4685362510527
good_overlap,naive,31,2057,2000.0,3386.6172051739886,158.13021565077975,3076.6819824984605,3696.552427849517
good_overlap,linear,31,2057,2000.0,2655.8349583953545,170.31499898012203,2322.0175603943153,2989.6523563963938
good_overlap,hgb,31,2057,2000.0,2194.7797719081263,182.03689666632116,1837.9874544421368,2551.572089374116
good_overlap,naive,32,2058,2000.0,3461.206515565864,165.803122826864,3136.2323948252106,3786.180636306517
good_overlap,linear,32,2058,2000.0,2521.5630168888147,164.22015856548737,2199.6915061004593,2843.43452767717
good_overlap,hgb,32,2058,2000.0,2144.753492496336,199.91103013453886,1752.92787343264,2536.5791115600323
good_overlap,naive,33,2059,2000.0,3237.70202897896,164.60972918706636,2915.06695977231,3560.3370981856096
good_overlap,linear,33,2059,2000.0,2499.760368718594,164.26350131045191,2177.803906150108,2821.7168312870795
good_overlap,hgb,33,2059,2000.0,1799.9830546240244,172.77816006501226,1461.3378608966004,2138.6282483514483
good_overlap,naive,34,2060,2000.0,3395.1149744359755,162.97012473298682,3075.6935299593215,3714.5364189126294
good_overlap,linear,34,2060,2000.0,2799.2839549715713,156.60605170167977,2492.3360936362787,3106.231816306864
good_overlap,hgb,34,2060,2000.0,2238.514563177146,174.600509086113,1896.2975653683648,2580.7315609859274
good_overlap,naive,35,2061,2000.0,3320.239245674614,161.2981674103515,3004.094837550325,3636.3836537989027
good_overlap,linear,35,2061,2000.0,2385.4452627375213,164.82874966183692,2062.380913400321,2708.5096120747216
good_overlap,hgb,35,2061,2000.0,1603.1182978587144,237.9295659772945,1136.7763485432172,2069.4602471742114
good_overlap,naive,36,2062,2000.0,2940.7743520074564,161.02556296575625,2625.164248594574,3256.384455420339
good_overlap,linear,36,2062,2000.0,2168.0849245061954,163.63275351691294,1847.364727613046,2488.805121399345
good_overlap,hgb,36,2062,2000.0,1508.2767512944117,250.60663066583507,1017.087755189375,1999.4657473994484
good_overlap,naive,37,2063,2000.0,3297.0243553267,166.09977582146684,2971.468794716625,3622.5799159367753
good_overlap,linear,37,2063,2000.0,2767.7392194130275,191.34201432942865,2392.7088713273474,3142.7695674987076
good_overlap,hgb,37,2063,2000.0,2226.4739536716143,208.48017322305097,1817.8528141544343,2635.095093188794
good_overlap,naive,38,2064,2000.0,3177.7704691290437,167.82457224362275,2848.8343075315433,3506.706630726544
good_overlap,linear,38,2064,2000.0,2579.355644573596,163.0082884549275,2259.859399201938,2898.851889945254
good_overlap,hgb,38,2064,2000.0,2031.219383447408,191.1008723438165,1656.6616736535277,2405.777093241288
good_overlap,naive,39,2065,2000.0,3304.6308712310074,164.5992138580818,2982.016412069167,3627.245330392848
good_overlap,linear,39,2065,2000.0,2439.9210246131242,154.03502695674032,2138.0123717779134,2741.829677448335
good_overlap,hgb,39,2065,2000.0,2112.887649363366,200.62305630977247,1719.666458996212,2506.1088397305202
good_overlap,naive,40,2066,2000.0,3640.735887424061,160.63600588399896,3325.889315891423,3955.5824589566987
good_overlap,linear,40,2066,2000.0,2744.3594951261903,163.04459911741213,2424.7920808560625,3063.926909396318
good_overlap,hgb,40,2066,2000.0,2401.9636931950267,192.63553757884893,2024.3980395404828,2779.5293468495706
good_overlap,naive,41,2067,2000.0,3058.343786595242,161.52278376827545,2741.759130409422,3374.9284427810617
good_overlap,linear,41,2067,2000.0,2324.527241546232,151.7308687231667,2027.134738848825,2621.9197442436384
good_overlap,hgb,41,2067,2000.0,1817.672773466488,192.38942866143415,1440.5894932900771,2194.756053642899
good_overlap,naive,42,2068,2000.0,3285.272260637375,164.4658047883868,2962.9192832521367,3607.6252380226133
good_overlap,linear,42,2068,2000.0,2482.279631575482,203.4998614514245,2083.4199031306903,2881.139360020274
good_overlap,hgb,42,2068,2000.0,1983.7885771274175,219.86662456878784,1552.8499929725933,2414.7271612822415
good_overlap,naive,43,2069,2000.0,2992.8101576398076,164.7494782608939,2669.9011802484556,3315.7191350311596
good_overlap,linear,43,2069,2000.0,2325.5635111015526,154.12013678759843,2023.4880429978598,2627.6389792052455
good_overlap,hgb,43,2069,2000.0,1999.7014503097566,197.8837428714881,1611.84931428164,2387.553586337873
good_overlap,naive,44,2070,2000.0,3043.592320506471,158.29383074675326,2733.3364122428347,3353.848228770107
good_overlap,linear,44,2070,2000.0,2292.040910498096,151.2966721067965,1995.4994331687747,2588.582387827417
good_overlap,hgb,44,2070,2000.0,2086.120344038215,222.78974491285558,1649.452444009018,2522.788244067412
good_overlap,naive,45,2071,2000.0,3556.669270522055,162.29975960370075,3238.5617416988016,3874.776799345308
good_overlap,linear,45,2071,2000.0,2768.41444139208,153.04805572461788,2468.440252171829,3068.388630612331
good_overlap,hgb,45,2071,2000.0,2148.1545278054755,221.47840350382137,1714.0568569379857,2582.2521986729653
good_overlap,naive,46,2072,2000.0,3356.5411507922354,160.557771113693,3041.847919409397,3671.2343821750737
good_overlap,linear,46,2072,2000.0,2585.4275253780374,160.4071356219639,2271.0295395589883,2899.8255111970866
good_overlap,hgb,46,2072,2000.0,2133.8336732668326,225.85008844320288,1691.167499918155,2576.4998466155103
good_overlap,naive,47,2073,2000.0,3410.3176066835877,165.37455448212324,3086.183479898626,3734.4517334685493
good_overlap,linear,47,2073,2000.0,2834.11058520348,162.91138108881384,2514.8042782694047,3153.416892137555
good_overlap,hgb,47,2073,2000.0,2259.660583979872,203.9558832145343,1859.907052879385,2659.4141150803594
